SAM_ID	TYPE	RELATION	VALUE	UNIT	REG_ID
SAM_CC50_001	Concentration_ToxAssay	=	32.919	uM	REG_CC50_001_001
SAM_CC50_001	Concentration_ToxAssay	=	32.919	uM	REG_CC50_001_001
SAM_CC50_001	Concentration_ToxAssay	=	32.919	uM	REG_CC50_001_001
SAM_CC50_001	PercentageConfluence_ToxAssay	=	0.000	%	REG_CC50_001_001
SAM_CC50_001	PercentageConfluence_ToxAssay	=	0.000	%	REG_CC50_001_001
SAM_CC50_001	PercentageConfluence_ToxAssay	=	0.020	%	REG_CC50_001_001
SAM_CC50_001	Concentration_ToxAssay	=	10.417	uM	REG_CC50_001_002
SAM_CC50_001	Concentration_ToxAssay	=	10.417	uM	REG_CC50_001_002
SAM_CC50_001	Concentration_ToxAssay	=	10.417	uM	REG_CC50_001_002
SAM_CC50_001	PercentageConfluence_ToxAssay	=	71.110	%	REG_CC50_001_002
SAM_CC50_001	PercentageConfluence_ToxAssay	=	83.330	%	REG_CC50_001_002
SAM_CC50_001	PercentageConfluence_ToxAssay	=	79.170	%	REG_CC50_001_002
SAM_CC50_001	Concentration_ToxAssay	=	3.297	uM	REG_CC50_001_003
SAM_CC50_001	Concentration_ToxAssay	=	3.297	uM	REG_CC50_001_003
SAM_CC50_001	Concentration_ToxAssay	=	3.297	uM	REG_CC50_001_003
SAM_CC50_001	PercentageConfluence_ToxAssay	=	91.640	%	REG_CC50_001_003
SAM_CC50_001	PercentageConfluence_ToxAssay	=	93.480	%	REG_CC50_001_003
SAM_CC50_001	PercentageConfluence_ToxAssay	=	92.010	%	REG_CC50_001_003
SAM_CC50_001	Concentration_ToxAssay	=	1.043	uM	REG_CC50_001_004
SAM_CC50_001	Concentration_ToxAssay	=	1.043	uM	REG_CC50_001_004
SAM_CC50_001	Concentration_ToxAssay	=	1.043	uM	REG_CC50_001_004
SAM_CC50_001	PercentageConfluence_ToxAssay	=	92.270	%	REG_CC50_001_004
SAM_CC50_001	PercentageConfluence_ToxAssay	=	87.590	%	REG_CC50_001_004
SAM_CC50_001	PercentageConfluence_ToxAssay	=	86.380	%	REG_CC50_001_004
SAM_CC50_001	Concentration_ToxAssay	=	0.330	uM	REG_CC50_001_005
SAM_CC50_001	Concentration_ToxAssay	=	0.330	uM	REG_CC50_001_005
SAM_CC50_001	Concentration_ToxAssay	=	0.330	uM	REG_CC50_001_005
SAM_CC50_001	PercentageConfluence_ToxAssay	=	90.970	%	REG_CC50_001_005
SAM_CC50_001	PercentageConfluence_ToxAssay	=	91.050	%	REG_CC50_001_005
SAM_CC50_001	PercentageConfluence_ToxAssay	=	87.500	%	REG_CC50_001_005
SAM_CC50_001	Concentration_ToxAssay	=	0.104	uM	REG_CC50_001_006
SAM_CC50_001	Concentration_ToxAssay	=	0.104	uM	REG_CC50_001_006
SAM_CC50_001	Concentration_ToxAssay	=	0.104	uM	REG_CC50_001_006
SAM_CC50_001	PercentageConfluence_ToxAssay	=	89.420	%	REG_CC50_001_006
SAM_CC50_001	PercentageConfluence_ToxAssay	=	87.810	%	REG_CC50_001_006
SAM_CC50_001	PercentageConfluence_ToxAssay	=	87.730	%	REG_CC50_001_006
SAM_CC50_001	Concentration_ToxAssay	=	0.033	uM	REG_CC50_001_007
SAM_CC50_001	Concentration_ToxAssay	=	0.033	uM	REG_CC50_001_007
SAM_CC50_001	Concentration_ToxAssay	=	0.033	uM	REG_CC50_001_007
SAM_CC50_001	PercentageConfluence_ToxAssay	=	91.030	%	REG_CC50_001_007
SAM_CC50_001	PercentageConfluence_ToxAssay	=	94.690	%	REG_CC50_001_007
SAM_CC50_001	PercentageConfluence_ToxAssay	=	90.410	%	REG_CC50_001_007
SAM_CC50_001	Concentration_ToxAssay	=	0.010	uM	REG_CC50_001_008
SAM_CC50_001	Concentration_ToxAssay	=	0.010	uM	REG_CC50_001_008
SAM_CC50_001	Concentration_ToxAssay	=	0.010	uM	REG_CC50_001_008
SAM_CC50_001	PercentageConfluence_ToxAssay	=	93.890	%	REG_CC50_001_008
SAM_CC50_001	PercentageConfluence_ToxAssay	=	90.000	%	REG_CC50_001_008
SAM_CC50_001	PercentageConfluence_ToxAssay	=	90.760	%	REG_CC50_001_008
SAM_CC50_002	Concentration_ToxAssay	=	32.919	uM	REG_CC50_002_001
SAM_CC50_002	Concentration_ToxAssay	=	32.919	uM	REG_CC50_002_001
SAM_CC50_002	Concentration_ToxAssay	=	32.919	uM	REG_CC50_002_001
SAM_CC50_002	PercentageConfluence_ToxAssay	=	23.870	%	REG_CC50_002_001
SAM_CC50_002	PercentageConfluence_ToxAssay	=	26.710	%	REG_CC50_002_001
SAM_CC50_002	PercentageConfluence_ToxAssay	=	24.000	%	REG_CC50_002_001
SAM_CC50_002	Concentration_ToxAssay	=	10.417	uM	REG_CC50_002_002
SAM_CC50_002	Concentration_ToxAssay	=	10.417	uM	REG_CC50_002_002
SAM_CC50_002	Concentration_ToxAssay	=	10.417	uM	REG_CC50_002_002
SAM_CC50_002	PercentageConfluence_ToxAssay	=	25.500	%	REG_CC50_002_002
SAM_CC50_002	PercentageConfluence_ToxAssay	=	24.360	%	REG_CC50_002_002
