COMPOUND_ID	ASSAY_ID	MEASUREMENT_TYPE	STATUS	VALUE	UPPER_VALUE	UNIT	SD_MINUS	SD_PLUS	ACTIVITY_COMMENT
DNDI1697549	1331133	% inhibition	= 			%			
DNDI1697549	1331133	% inhibition	= 			%			
DNDI1697549	1331134	% inhibition	= 			%			
DNDI1697549	1331134	% inhibition	= 			%			
DNDI1697549	1042951	Equilibrium	= 	126.9		ug/ml			
DNDI1697549	1000252	EH	= 	.53		none			
DNDI1697549	1000253	EH	= 	.55		none			
DNDI1697549	1007173	logD	= 	4.5		none			
DNDI1697549	1007175	Kinetic	> 	100		ug/ml			
DNDI1697549	1007599	Kinetic	= 	1.6		ug/ml			
DNDI1697549	1007804	t (1 / 2)	= 	85		Min			
DNDI1697549	1007805	CLint in vitro	= 	59		uL/min/mg			
DNDI1697549	1007806	CLint in vitro	= 	20		uL/min/mg			
DNDI1697549	1007807	EH	= 	.72		none			
DNDI1697549	1007808	t (1 / 2)	= 	30		Min			
DNDI1697549	1007988	logD	= 	4.1		none			
DNDI1697549	1007989	CLint in vitro	= 	38		uL/min/mg			
DNDI1697549	1007990	t (1 / 2)	= 	46		Min			
DNDI1697549	1008057	IC50	= 	20		uM			
DNDI1697549	1034011	EH	= 	.38		none			
DNDI1697549	1035348	IC50	= 	.01		uM			
DNDI1697549	1035991	CLint in vitro	= 	13		uL/min/mg			
DNDI1697549	1035992	t (1 / 2)	= 	130		Min			
DNDI1697549	1327097	IC50	= 	37.71		uM			
DNDI1697549	1327100	IC90	= 	.01		uM			
DNDI1697549	1327661	IC50	> 	10		uM			
DNDI1697549	1044146	logD	= 	5.47		none			
DNDI1697549	1044145	logD	= 	2.71		none			
DNDI1697549	1043025	% bound	= 	92.4		%			
DNDI1697549	1042955	Equilibrium	< 	1		ug/ml			
DNDI1697549	1042954	Equilibrium	< 	1		ug/ml			
DNDI1697549	1042953	Equilibrium	< 	1		ug/ml			
DNDI1697549	1042952	Equilibrium	= 	1497		ug/ml			
DNDI1697549	1042922	IC50	= 	1.2		uM			
DNDI1697549	1042700	IC50	= 	7.4		uM			
DNDI1697549	1041454	% bound	= 	97.7		%			
DNDI1697549	1041453	% bound	= 	98.8		%			
DNDI1697549	1038567	Equilibrium	= 	75.9		ug/ml			
DNDI1697549	1038566	Equilibrium	= 	1.3		ug/ml			
DNDI1697549	1038452	% bound	= 	97.3		%			
DNDI1697549	1008045	% bound	= 	98.6		%			
DNDI1697549	1007985	pKa(1)	= 	2.62		none			
DNDI1697549	1006670	% bound	= 	97.5		%			
DNDI1697549	1327661	IC50	> 	10		uM			
DNDI1697549	1327100	IC90	= 	.0475		uM			
DNDI1697549	1327097	IC50	= 	42.42		uM			
DNDI1697549	1035348	IC50	= 	.006999999999999999		uM			
DNDI1697549	1331121	% inhibition	= 			%			
DNDI1697549	1331121	% inhibition	= 			%			
DNDI1697549	1044148	logD	= 	5.54		none			
DNDI1697549	1044147	logD	= 	5.44		none			
DNDI1800292	1331121	% inhibition	= 			%			
DNDI1800292	1327661	IC50	> 	10		uM			
DNDI1800292	1327100	IC90	> 	.1		uM			
DNDI1800292	1327097	IC50	= 	64.59		uM			
DNDI1800292	1035348	IC50	= 	.012		uM			
DNDI1800292	1034082	IC50	= 	7		uM			
DNDI1800292	1007988	logD	= 	3.8		none			
DNDI1800292	1007806	CLint in vitro	= 	42		uL/min/mg			
DNDI1800292	1007804	t (1 / 2)	= 	41		Min			
DNDI1800292	1007599	Kinetic	= 	3.1		ug/ml			
DNDI1800292	1007175	Kinetic	= 	25		ug/ml			
DNDI1800292	1007173	logD	= 	4.2		none			
DNDI1800292	1000252	EH	= 	.7		none			
DNDI1800292	1331121	% inhibition	= 			%			
DNDI1800292	1000252	EH	= 	.61		none			
DNDI1800292	1007173	logD	= 	4.2		none			
DNDI1800292	1007175	Kinetic	= 	25		ug/ml			
DNDI1800292	1007599	Kinetic	= 	3.1		ug/ml			
DNDI1800292	1007804	t (1 / 2)	= 	63		Min			
DNDI1800292	1007806	CLint in vitro	= 	28		uL/min/mg			
DNDI1800292	1007988	logD	= 	3.8		none			
DNDI1800292	1034082	IC50	> 	20		uM			
DNDI1800292	1035348	IC50	> 	.1		uM			
DNDI1800292	1327097	IC50	= 	56.98		uM			
DNDI1800292	1327100	IC90	> 	.1		uM			
DNDI1800292	1327661	IC50	> 	10		uM			
DNDI1800292	1008057	IC50	= 	6.6		uM			
DNDI1800292	1327661	IC50	> 	10		uM			
DNDI1800292	1327100	IC90	= 	.4005		uM			
DNDI1800292	1327097	IC50	= 	59.32		uM			
DNDI1800292	1035348	IC50	= 	.008		uM			
DNDI1800292	1000252	EH	= 	.63		none			
DNDI1800292	1007173	logD	= 	4.2		none			
DNDI1800292	1007175	Kinetic	> 	100		ug/ml			
DNDI1800292	1007599	Kinetic	= 	3.1		ug/ml			
DNDI1800292	1007804	t (1 / 2)	= 	57		Min			
DNDI1800292	1007806	CLint in vitro	= 	30		uL/min/mg			
DNDI1800292	1007988	logD	= 	3.7		none			
DNDI1800293	1327097	IC50	> 	100		uM			
DNDI1800293	1035348	IC50	= 	.002		uM			
DNDI1800293	1034082	IC50	= 	4		uM			
DNDI1800293	1007806	CLint in vitro	= 	84		uL/min/mg			
DNDI1800293	1007804	t (1 / 2)	= 	21		Min			
DNDI1800293	1000252	EH	= 	.82		none			
DNDI1800293	1327661	IC50	> 	10		uM			
DNDI1800293	1327097	IC50	= 	61.47		uM			
DNDI1800293	1035348	IC50	= 	.09		uM			
DNDI1800293	1034082	IC50	= 	19		uM			
DNDI1800293	1007806	CLint in vitro	= 	53		uL/min/mg			
DNDI1800293	1007804	t (1 / 2)	= 	33		Min			
DNDI1800293	1000252	EH	= 	.75		none			
DNDI1800293	1327661	IC50	> 	10		uM			
DNDI1800293	1327100	IC90	= 	.214		uM			
DNDI1800293	1327097	IC50	> 	100		uM			
DNDI1800293	1035348	IC50	= 	.008		uM			
DNDI1800293	1008057	IC50	= 	7.1		uM			
DNDI1800293	1007988	logD	= 	2.3		none			
DNDI1800293	1007806	CLint in vitro	= 	38		uL/min/mg			
DNDI1800293	1007804	t (1 / 2)	= 	46		Min			
DNDI1800293	1007599	Kinetic	= 	6.3		ug/ml			
DNDI1800293	1007175	Kinetic	= 	25		ug/ml			
DNDI1800293	1007173	logD	= 	2.9		none			
DNDI1800293	1000252	EH	= 	.68		none			
DNDI1800293	1331121	% inhibition	= 			%			
DNDI1800293	1331121	% inhibition	= 			%			
DNDI1800293	1327661	IC50	> 	10		uM			
DNDI1800293	1327100	IC90	> 	.1		uM			
DNDI1800293	1327100	IC90	> 	.1		uM			
DNDI1800294	1007173	logD	= 	3.7		none			
DNDI1800294	1007175	Kinetic	= 	50		ug/ml			
DNDI1800294	1007599	Kinetic	= 	6.3		ug/ml			
DNDI1800294	1007804	t (1 / 2)	= 	41		Min			
DNDI1800294	1007806	CLint in vitro	= 	42		uL/min/mg			
DNDI1800294	1007988	logD	= 	3.2		none			
DNDI1800294	1034082	IC50	> 	20		uM			
DNDI1800294	1035348	IC50	> 	.1		uM			
DNDI1800294	1327097	IC50	= 	66.78		uM			
DNDI1800294	1327100	IC90	> 	.1		uM			
DNDI1800294	1327661	IC50	> 	10		uM			
DNDI1800294	1327661	IC50	> 	10		uM			
DNDI1800294	1327100	IC90	= 	1.03		uM			
DNDI1800294	1327097	IC50	= 	61.05		uM			
DNDI1800294	1035348	IC50	= 	.0126		uM			
DNDI1800294	1008057	IC50	= 	20		uM			
DNDI1800294	1000252	EH	= 	.67		none			
DNDI1800294	1007173	logD	= 	3.7		none			
DNDI1800294	1007175	Kinetic	> 	100		ug/ml			
DNDI1800294	1007599	Kinetic	= 	6.3		ug/ml			
DNDI1800294	1007804	t (1 / 2)	= 	49		Min			
DNDI1800294	1007806	CLint in vitro	= 	36		uL/min/mg			
DNDI1800294	1007988	logD	= 	3.1		none			
DNDI1800294	1000252	EH	= 	.77		none			
DNDI1800294	1007173	logD	= 	3.7		none			
DNDI1800294	1007175	Kinetic	> 	100		ug/ml			
DNDI1800294	1007599	Kinetic	= 	6.3		ug/ml			
DNDI1800294	1007804	t (1 / 2)	= 	28		Min			
DNDI1800294	1007806	CLint in vitro	= 	61		uL/min/mg			
DNDI1800294	1007988	logD	= 	3.2		none			
DNDI1800294	1034082	IC50	> 	20		uM			
DNDI1800294	1035348	IC50	= 	.0075		uM			
DNDI1800294	1327097	IC50	= 	60.88		uM			
DNDI1800294	1327100	IC90	> 	.1		uM			
DNDI1800294	1327661	IC50	> 	10		uM			
DNDI1800294	1331121	% inhibition	= 			%			
DNDI1800294	1331121	% inhibition	= 			%			
DNDI1800294	1000252	EH	= 	.7		none			
DNDI1808272	1035348	IC50	= 	.018		uM			
DNDI1808272	1327097	IC50	> 	100		uM			
DNDI1808272	1327100	IC90	= 	.029		uM			
DNDI1808272	1327661	IC50	> 	10		uM			
DNDI1808297	1007988	logD	= 	1.8		none			
DNDI1808297	1007806	CLint in vitro	= 	15		uL/min/mg			
DNDI1808297	1007804	t (1 / 2)	= 	113		Min			
DNDI1808297	1007599	Kinetic	= 	3.1		ug/ml			
DNDI1808297	1007175	Kinetic	= 	25		ug/ml			
DNDI1808297	1007173	logD	= 	2.4		none			
DNDI1808297	1000252	EH	= 	.46		none			
DNDI1808297	1327661	IC50	> 	10		uM			
DNDI1808297	1327100	IC90	> 	.1		uM			
DNDI1808297	1327097	IC50	> 	100		uM			
DNDI1808297	1035348	IC50	> 	.1		uM			
DNDI1808297	1034082	IC50	> 	20		uM			
DNDI1808297	1007988	logD	= 	1.8		none			
DNDI1808297	1007806	CLint in vitro	= 	10		uL/min/mg			
DNDI1808297	1007804	t (1 / 2)	= 	169		Min			
DNDI1808297	1007599	Kinetic	= 	6.3		ug/ml			
DNDI1808297	1007175	Kinetic	= 	25		ug/ml			
DNDI1808297	1007173	logD	= 	2.4		none			
DNDI1808297	1000252	EH	= 	.36		none			
DNDI1808297	1000252	EH	< 	.28		none			
DNDI1808297	1007173	logD	= 	2.3		none			
DNDI1808297	1327661	IC50	> 	10		uM			
DNDI1808297	1327100	IC90	> 	.1		uM			
DNDI1808297	1327097	IC50	> 	100		uM			
DNDI1808297	1035348	IC50	= 	.0555		uM			
DNDI1808297	1007175	Kinetic	> 	100		ug/ml			
DNDI1808297	1007599	Kinetic	= 	25		ug/ml			
DNDI1808297	1007804	t (1 / 2)	> 	250		Min			
DNDI1808297	1007806	CLint in vitro	< 	7		uL/min/mg			
DNDI1808297	1007988	logD	= 	1.7		none			
DNDI1808297	1034082	IC50	> 	20		uM			
DNDI1808297	1035348	IC50	= 	.018		uM			
DNDI1808297	1327097	IC50	> 	100		uM			
DNDI1808297	1327100	IC90	= 	.029066666666666668		uM			
DNDI1808297	1327661	IC50	> 	10		uM			
DNDI1808297	1327100	IC90	> 	.1		uM			
DNDI1808297	1327097	IC50	> 	100		uM			
DNDI1808297	1035348	IC50	= 	.024		uM			
DNDI1808297	1034082	IC50	> 	20		uM			
DNDI1808298	1007804	t (1 / 2)	= 	144		Min			
DNDI1808298	1007806	CLint in vitro	= 	12		uL/min/mg			
DNDI1808298	1007988	logD	= 	2.5		none			
DNDI1808298	1034082	IC50	> 	20		uM			
DNDI1808298	1327661	IC50	> 	10		uM			
DNDI1808298	1327661	IC50	> 	10		uM			
DNDI1808298	1327100	IC90	> 	.1		uM			
DNDI1808298	1327097	IC50	> 	100		uM			
DNDI1808298	1035348	IC50	= 	.055		uM			
DNDI1808298	1000252	EH	= 	.4		none			
DNDI1808298	1007173	logD	= 	3		none			
DNDI1808298	1007175	Kinetic	> 	100		ug/ml			
DNDI1808298	1000252	EH	= 	.56		none			
DNDI1808298	1007173	logD	= 	3		none			
DNDI1808298	1007175	Kinetic	> 	100		ug/ml			
DNDI1808298	1007599	Kinetic	= 	25		ug/ml			
DNDI1808298	1007804	t (1 / 2)	= 	77		Min			
DNDI1808298	1007806	CLint in vitro	= 	22		uL/min/mg			
DNDI1808298	1007988	logD	= 	2.6		none			
DNDI1808298	1034082	IC50	> 	20		uM			
DNDI1808298	1035348	IC50	> 	.1		uM			
DNDI1808298	1327097	IC50	> 	100		uM			
DNDI1808298	1327100	IC90	> 	.1		uM			
DNDI1808298	1007599	Kinetic	= 	25		ug/ml			
DNDI1808298	1327661	IC50	> 	10		uM			
DNDI1808298	1327100	IC90	= 	.08149999999999999		uM			
DNDI1808298	1327097	IC50	> 	100		uM			
DNDI1808298	1035348	IC50	= 	.0205		uM			
DNDI1808298	1034082	IC50	> 	20		uM			
DNDI1808298	1007988	logD	= 	2.6		none			
DNDI1808298	1007806	CLint in vitro	= 	21		uL/min/mg			
DNDI1808298	1007804	t (1 / 2)	= 	81		Min			
DNDI1808298	1007599	Kinetic	= 	12.5		ug/ml			
DNDI1808298	1007175	Kinetic	> 	100		ug/ml			
DNDI1808298	1007173	logD	= 	3		none			
DNDI1808298	1000252	EH	= 	.54		none			
DNDI1808298	1327661	IC50	> 	10		uM			
DNDI1808299	1000252	EH	= 	.66		none			
DNDI1808299	1007173	logD	= 	3.8		none			
DNDI1808299	1007175	Kinetic	> 	100		ug/ml			
DNDI1808299	1007599	Kinetic	= 	3.1		ug/ml			
DNDI1808299	1007804	t (1 / 2)	= 	50		Min			
DNDI1808299	1007806	CLint in vitro	= 	35		uL/min/mg			
DNDI1808299	1007988	logD	= 	3.5		none			
DNDI1808299	1034082	IC50	> 	20		uM			
DNDI1808299	1035348	IC50	= 	.01		uM			
DNDI1808299	1327097	IC50	= 	73.77		uM			
DNDI1808299	1327100	IC90	= 	.027		uM			
DNDI1808299	1327661	IC50	> 	10		uM			
DNDI1808299	1007804	t (1 / 2)	= 	41		Min			
DNDI1808299	1007806	CLint in vitro	= 	42		uL/min/mg			
DNDI1808299	1034082	IC50	> 	20		uM			
DNDI1808299	1035348	IC50	= 	.012		uM			
DNDI1808299	1327097	IC50	= 	58.22		uM			
DNDI1808299	1327100	IC90	= 	.07150000000000001		uM			
DNDI1808299	1327661	IC50	> 	10		uM			
DNDI1808299	1000252	EH	= 	.68		none			
DNDI1808299	1007804	t (1 / 2)	= 	45		Min			
DNDI1808299	1327100	IC90	> 	.1		uM			
DNDI1808299	1034082	IC50	> 	20		uM			
DNDI1808299	1035348	IC50	= 	.0675		uM			
DNDI1808299	1327097	IC50	= 	54.66		uM			
DNDI1808299	1007806	CLint in vitro	= 	38		uL/min/mg			
