ASSAY_ID	REFERENCE_ID	ASSAY_DESCRIPTION	ASSAY_TYPE	ASSAY_TEST_TYPE	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	ASSAY_TISSUE	ASSAY_CELL_LINE	ASSAY_SUBCELLULAR_FRACTION	TARGET_TYPE	TARGET_NAME	TARGET_ACCESSION	TARGET_ORGANISM	TARGET_TAX_ID	SRC_ID	ASSAY_SOURCE
1035348	1	Chagas in Vitro	F	In Vitro	T. cruzi	Tulahuen C4 (LacZ)					ORGANISM	T. cruzi				14	HEOS
1327100	1	Chagas in Vitro	F	In Vitro	T. cruzi	Tulahuen C4 (LacZ)					ORGANISM	T. cruzi				14	HEOS
1331134	1	Chagas in vivo at 10 mg/kg, 20 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1331121	1	Chagas in vivo at 20 mg/kg, 20 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1331133	1	Chagas in vivo at 5 mg/kg, 20 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1042700	1	CYP Inhibition	A	In Vitro	CYP3A4	Nifedipine					ORGANISM	CYP3A4				14	HEOS
1042922	1	CYP Inhibition	A	In Vitro	CYP3A4	terfenadine					ORGANISM	CYP3A4				14	HEOS
1034082	1	CYP Inhibition	A	In Vitro	CYP3A4	testosterone					ORGANISM	CYP3A4				14	HEOS
1008057	1	CYP Inhibition	A	In Vitro	CYP3A4	unknown					ORGANISM	CYP3A4				14	HEOS
1327097	1	Cytotoxicity in Vitro	F	In Vitro	L-6 cells	Rat Skeletal Myoblast Cells					ORGANISM	L-6 cells				14	HEOS
1327661	1	HAT in Vitro	F	In Vitro	T.b. rhodesiense	ATCC 30027					ORGANISM	T.b. rhodesiense				14	HEOS
1007988	1	Lipophilicity	A	In Vitro	gLogD	pH 3					ORGANISM	gLogD				14	HEOS
1007173	1	Lipophilicity	A	In Vitro	gLogD	pH 7.4					ORGANISM	gLogD				14	HEOS
1044145	1	Lipophilicity	A	In Vitro	s.f. LogD	pH 2					ORGANISM	s.f. LogD				14	HEOS
1044146	1	Lipophilicity	A	In Vitro	s.f. LogD	pH 5					ORGANISM	s.f. LogD				14	HEOS
1044148	1	Lipophilicity	A	In Vitro	s.f. LogD	pH 7.4					ORGANISM	s.f. LogD				14	HEOS
1044147	1	Lipophilicity	A	In Vitro	s.f. LogD	water					ORGANISM	s.f. LogD				14	HEOS
1035992	1	Metabolism	A	In Vitro	Dog	Microsomes					ORGANISM	Dog				14	HEOS
1035991	1	Metabolism	A	In Vitro	Dog	Microsomes					ORGANISM	Dog				14	HEOS
1034011	1	Metabolism	A	In Vitro	Dog	Microsomes					ORGANISM	Dog				14	HEOS
1007806	1	Metabolism	A	In Vitro	Human	Microsomes					ORGANISM	Human				14	HEOS
1007804	1	Metabolism	A	In Vitro	Human	Microsomes					ORGANISM	Human				14	HEOS
1000252	1	Metabolism	A	In Vitro	Human	Microsomes					ORGANISM	Human				14	HEOS
1007805	1	Metabolism	A	In Vitro	Mouse	Microsomes					ORGANISM	Mouse				14	HEOS
1007807	1	Metabolism	A	In Vitro	Mouse	Microsomes					ORGANISM	Mouse				14	HEOS
1007808	1	Metabolism	A	In Vitro	Mouse	Microsomes					ORGANISM	Mouse				14	HEOS
1007989	1	Metabolism	A	In Vitro	Rat	Microsomes					ORGANISM	Rat				14	HEOS
1007990	1	Metabolism	A	In Vitro	Rat	Microsomes					ORGANISM	Rat				14	HEOS
1000253	1	Metabolism	A	In Vitro	Rat	Microsomes					ORGANISM	Rat				14	HEOS
1007985	1	pKa measurement	A	In Vitro	PKA	unknown					ORGANISM	PKA				14	HEOS
1043025	1	protein binding	A	In Vitro	10% serum RPMI	media					ORGANISM	10% serum RPMI				14	HEOS
1041453	1	protein binding	A	In Vitro	dog	plasma					ORGANISM	dog				14	HEOS
1041454	1	protein binding	A	In Vitro	Human	Liver Microsomes					ORGANISM	Human				14	HEOS
1006670	1	protein binding	A	In Vitro	human	plasma					ORGANISM	human				14	HEOS
1008045	1	protein binding	A	In Vitro	mouse	plasma					ORGANISM	mouse				14	HEOS
1038452	1	protein binding	A	In Vitro	rat	plasma					ORGANISM	rat				14	HEOS
1007175	1	Solubility	A	In Vitro	0.01M HCl - pH 2	NEPH_RT					ORGANISM	0.01M HCl - pH 2				14	HEOS
1007599	1	Solubility	A	In Vitro	PBS - pH 6.5	NEPH_RT					ORGANISM	PBS - pH 6.5				14	HEOS
1038566	1	Solubility, 24 hour	A	In Vitro	FaSSIF	37oC					ORGANISM	FaSSIF				14	HEOS
1042953	1	Solubility, 24 hour	A	In Vitro	FaSSIF buffer - pH 6.5	37oC					ORGANISM	FaSSIF buffer - pH 6.5				14	HEOS
1038567	1	Solubility, 24 hour	A	In Vitro	FeSSIF	37oC					ORGANISM	FeSSIF				14	HEOS
1042954	1	Solubility, 24 hour	A	In Vitro	FeSSIF buffer - pH 5.8	37oC					ORGANISM	FeSSIF buffer - pH 5.8				14	HEOS
1042951	1	Solubility, 24 hour	A	In Vitro	Isotonic phos buffer - pH 2	unknown					ORGANISM	Isotonic phos buffer - pH 2				14	HEOS
1042955	1	Solubility, 24 hour	A	In Vitro	Isotonic phos buffer - pH 7.4	unknown					ORGANISM	Isotonic phos buffer - pH 7.4				14	HEOS
1042952	1	Solubility, 24 hour	A	In Vitro	SGF - pH 1	37oC					ORGANISM	SGF - pH 1				14	HEOS
